Post ID,Customer ID,Content,Intent,Sentiment Score,Platform,Sentiment
POST00019,CUST0941,Switched to a digital-only bank. Loving the seamless experience!,Service Quality,-0.3709952059,Twitter,negative
POST00020,CUST0185,Excited about the latest AI-powered budgeting app. Looks promising!,Tech Innovation,0.5517605493,LinkedIn,neutral
POST00021,CUST0810,Thinking of getting a personal loan to start a small business. Need advice!,Financial Planning,-0.1693094537,Instagram,neutral
POST00022,CUST0770,Switched to a digital-only bank. Loving the seamless experience!,Financial Literacy,0.8734615152,Facebook,positive
POST00023,CUST0215,Just got my first salary! Thinking of the best way to save and invest.,Tech Enthusiasm,0.6491440485,LinkedIn,neutral
POST00024,CUST0702,Which banks offer the best customer service? Tired of waiting on calls.,Crypto Curiosity,0.4938334568,LinkedIn,neutral
POST00025,CUST0674,"Just finished a 5k run, need new running shoes, any suggestions?",Cashback Rewards,-0.5175117348,Twitter,neutral
POST00026,CUST0785,Investing in crypto feels risky but exciting. What do you think?,Loan Interest,-0.2744759882,LinkedIn,negative
POST00027,CUST0809,Investing in crypto feels risky but exciting. What do you think?,Tech Enthusiasm,0.6979614631,LinkedIn,negative
POST00028,CUST0718,Which banks offer the best customer service? Tired of waiting on calls.,Digital Banking Experience,-0.953720467,Twitter,neutral
POST00029,CUST0459,Tried an AI financial planner. Super interesting insights on my spending!,Sponsorship,0.5629374922,Facebook,positive
POST00030,CUST0340,Investing in crypto feels risky but exciting. What do you think?,Savings Planning,-0.191696882,Twitter,positive
POST00031,CUST0364,Struggling with credit card debt. Need a solid repayment strategy!,Complaint,0.5986981533,LinkedIn,neutral
POST00032,CUST0711,Eager to learn more about sustainable investing. Suggestions?,Sponsorship,0.1047837953,Facebook,negative
POST00033,CUST0321,Which banks offer the best customer service? Tired of waiting on calls.,Shopping Recommendation,0.05361340178,Twitter,neutral
POST00034,CUST0632,Switched to a digital-only bank. Loving the seamless experience!,Tech Enthusiasm,0.4031826969,Instagram,positive
POST00035,CUST0767,Finally paid off my student loan! Feels like a huge relief!,Audience Engagement,0.612667674,Facebook,negative
POST00036,CUST0240,Can’t decide between a high-interest savings account or stocks. Help?,Savings Planning,0.386909591,Twitter,negative
POST00037,CUST0015,Just got a cashback credit card. Time to maximize my rewards!,Tech Innovation,-0.09857138834,Twitter,negative
POST00038,CUST0877,I need a budget-friendly laptop for work. Any solid choices under $1000?,Wealth Management,-0.3583278469,Facebook,neutral
POST00039,CUST0166,Eager to learn more about sustainable investing. Suggestions?,Service Quality,0.6912597577,Facebook,neutral
POST00040,CUST0354,Struggling with credit card debt. Need a solid repayment strategy!,Financial Literacy,0.04155523826,Facebook,neutral
POST00041,CUST0457,Investing in crypto feels risky but exciting. What do you think?,Complaint,0.5669215029,LinkedIn,positive
POST00042,CUST0321,Just got a cashback credit card. Time to maximize my rewards!,Service Quality,0.9914348862,LinkedIn,negative
POST00043,CUST0265,Who else finds banking apps super confusing? UX needs serious work.,Complaint,0.2877751605,Twitter,negative
POST00044,CUST0170,Finally paid off my student loan! Feels like a huge relief!,Bank Fee Concern,-0.4433076105,Twitter,positive
POST00045,CUST0511,Switched to a digital-only bank. Loving the seamless experience!,Crypto Curiosity,0.7311132139,Instagram,positive
POST00046,CUST0450,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Financial Literacy,-0.4526539048,Facebook,negative
POST00047,CUST0726,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Savings Planning,-0.4791980633,Instagram,negative
POST00048,CUST0857,Tried an AI financial planner. Super interesting insights on my spending!,Product Discovery,-0.8521259566,Facebook,positive
POST00049,CUST0691,Just got my first salary! Thinking of the best way to save and invest.,Financial Planning,-0.8428746055,Twitter,neutral
POST00050,CUST0892,Who else finds banking apps super confusing? UX needs serious work.,Tech Enthusiasm,0.7246427358,LinkedIn,neutral
POST00051,CUST0078,Switched to a digital-only bank. Loving the seamless experience!,Cashback Rewards,-0.5385409698,Facebook,neutral
POST00052,CUST0739,Investing in crypto feels risky but exciting. What do you think?,Tech Enthusiasm,-0.782623637,LinkedIn,positive
POST00053,CUST0208,Saving up for my dream vacation. Any good tips to stay on track?,Service Quality,-0.2948240123,Instagram,negative
POST00054,CUST0915,Switched to a digital-only bank. Loving the seamless experience!,Audience Engagement,0.4270882119,Instagram,positive
POST00055,CUST0873,Just got my first salary! Thinking of the best way to save and invest.,Sponsorship,-0.3207378887,LinkedIn,neutral
POST00056,CUST0031,Struggling with credit card debt. Need a solid repayment strategy!,Bank Fee Concern,-0.3814398657,Twitter,neutral
POST00057,CUST0194,Who else finds banking apps super confusing? UX needs serious work.,Wealth Management,-0.023868541,Instagram,neutral
POST00058,CUST0160,"Just finished a 5k run, need new running shoes, any suggestions?",Loan Interest,-0.9575997128,LinkedIn,positive
POST00059,CUST0100,Investing in crypto feels risky but exciting. What do you think?,Tech Enthusiasm,-0.01785305458,Instagram,positive
POST00060,CUST0504,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Sponsorship,0.980038044,Twitter,neutral
POST00061,CUST0203,"Just finished a 5k run, need new running shoes, any suggestions?",Cashback Rewards,0.5986972008,Instagram,neutral
POST00062,CUST0008,Just got a cashback credit card. Time to maximize my rewards!,Sponsorship,-0.8590164017,Twitter,negative
POST00063,CUST0880,Tried an AI financial planner. Super interesting insights on my spending!,Debt Repayment Strategy,0.3096449797,Twitter,positive
POST00064,CUST0709,Thinking of getting a personal loan to start a small business. Need advice!,Savings Planning,-0.07777557372,Instagram,negative
POST00065,CUST0482,Thinking of getting a personal loan to start a small business. Need advice!,Bank Fee Concern,0.6524971344,LinkedIn,neutral
POST00066,CUST0544,I need a budget-friendly laptop for work. Any solid choices under $1000?,Digital Banking Experience,-0.8029475685,Twitter,neutral
POST00067,CUST0303,Which banks offer the best customer service? Tired of waiting on calls.,Investment Interest,-0.5345423781,Facebook,neutral
POST00068,CUST0966,Struggling with credit card debt. Need a solid repayment strategy!,Investment Interest,0.5822821606,Twitter,negative
POST00069,CUST0008,Just got my first salary! Thinking of the best way to save and invest.,Cashback Rewards,0.6983986761,Instagram,positive
POST00070,CUST0674,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Service Quality,0.05863153325,Facebook,positive
POST00071,CUST0772,Investing in crypto feels risky but exciting. What do you think?,Crypto Curiosity,-0.9606059461,LinkedIn,negative
POST00072,CUST0804,Just got my first salary! Thinking of the best way to save and invest.,Shopping Recommendation,0.7874300464,Facebook,positive
POST00073,CUST0172,Switched to a digital-only bank. Loving the seamless experience!,Complaint,-0.234469548,Facebook,negative
POST00074,CUST0153,Who else finds banking apps super confusing? UX needs serious work.,Crypto Curiosity,-0.9206389316,Facebook,negative
POST00075,CUST0282,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Shopping Recommendation,0.6376244917,LinkedIn,positive
POST00076,CUST0801,I need a budget-friendly laptop for work. Any solid choices under $1000?,Investment Interest,-0.1638617553,LinkedIn,positive
POST00077,CUST0393,Tried an AI financial planner. Super interesting insights on my spending!,Wealth Management,-0.6200194191,LinkedIn,negative
POST00078,CUST0303,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Debt Repayment Strategy,0.6031565288,Twitter,positive
POST00079,CUST0200,Investing in crypto feels risky but exciting. What do you think?,Crypto Curiosity,-0.08456864628,LinkedIn,positive
POST00080,CUST0145,Looking for the best credit card with travel rewards. Any recommendations?,Investment Interest,0.2156191269,Twitter,negative
POST00081,CUST0015,Tried an AI financial planner. Super interesting insights on my spending!,Investment Interest,0.6462428474,Twitter,neutral
POST00082,CUST0682,Struggling with credit card debt. Need a solid repayment strategy!,Tech Innovation,0.04484417808,LinkedIn,negative
POST00083,CUST0310,Which banks offer the best customer service? Tired of waiting on calls.,Wealth Management,-0.7790439359,Instagram,positive
POST00084,CUST0397,"Just finished a 5k run, need new running shoes, any suggestions?",Loan Interest,0.9275236508,LinkedIn,neutral
POST00085,CUST0752,Thinking of getting a personal loan to start a small business. Need advice!,Financial Planning,-0.4269189851,LinkedIn,positive
POST00086,CUST0506,Excited about the latest AI-powered budgeting app. Looks promising!,Complaint,0.9884988631,Instagram,negative
POST00087,CUST0495,I need a budget-friendly laptop for work. Any solid choices under $1000?,Financial Literacy,-0.9879509239,Facebook,negative
POST00088,CUST0690,Just got my first salary! Thinking of the best way to save and invest.,Financial Planning,-0.03242388349,Instagram,negative
POST00089,CUST0044,Switched to a digital-only bank. Loving the seamless experience!,Sponsorship,0.4098699936,Twitter,neutral
POST00090,CUST0259,Finally paid off my student loan! Feels like a huge relief!,Bank Fee Concern,0.812603868,Twitter,positive
POST00091,CUST0181,Thinking of getting a personal loan to start a small business. Need advice!,Bank Fee Concern,0.5606738908,Twitter,neutral
POST00092,CUST0312,Saving up for my dream vacation. Any good tips to stay on track?,Digital Banking Experience,-0.4887443626,LinkedIn,negative
POST00093,CUST0054,Wondering if robo-advisors really beat traditional financial planners.,Sponsorship,-0.5133911841,LinkedIn,positive
POST00094,CUST0697,Excited about the latest AI-powered budgeting app. Looks promising!,Digital Banking Experience,-0.2868266682,Twitter,negative
POST00095,CUST0652,Eager to learn more about sustainable investing. Suggestions?,Crypto Curiosity,-0.7789195986,Twitter,positive
POST00096,CUST0349,Investing in crypto feels risky but exciting. What do you think?,Bank Fee Concern,0.3391464908,Facebook,neutral
POST00097,CUST0384,Excited about the latest AI-powered budgeting app. Looks promising!,Cashback Rewards,0.8825166851,Twitter,neutral
POST00098,CUST0187,Who else finds banking apps super confusing? UX needs serious work.,Product Discovery,0.2842087621,Twitter,neutral
POST00099,CUST0321,Investing in crypto feels risky but exciting. What do you think?,Shopping Recommendation,0.06674725834,Twitter,neutral
POST00100,CUST0352,Saving up for my dream vacation. Any good tips to stay on track?,Financial Planning,0.006698432076,Facebook,positive
POST00101,CUST0805,Who else finds banking apps super confusing? UX needs serious work.,Tech Enthusiasm,0.1852262544,Twitter,positive
POST00102,CUST0660,Who else finds banking apps super confusing? UX needs serious work.,Service Quality,0.4212258497,LinkedIn,neutral
POST00103,CUST0456,I need a budget-friendly laptop for work. Any solid choices under $1000?,Crypto Curiosity,0.5899987076,Instagram,neutral
POST00104,CUST0293,Looking for the best credit card with travel rewards. Any recommendations?,Budget Concerns,0.3966423432,Facebook,positive
POST00105,CUST0159,Looking for the best credit card with travel rewards. Any recommendations?,Crypto Curiosity,0.4100637455,LinkedIn,negative
POST00106,CUST0479,Switched to a digital-only bank. Loving the seamless experience!,Crypto Curiosity,0.9034676186,Facebook,neutral
POST00107,CUST0025,Struggling with credit card debt. Need a solid repayment strategy!,Audience Engagement,0.7986867906,Twitter,positive
POST00108,CUST0818,I need a budget-friendly laptop for work. Any solid choices under $1000?,Investment Interest,0.6478466369,Twitter,neutral
POST00109,CUST0232,Eager to learn more about sustainable investing. Suggestions?,Financial Literacy,-0.9132795181,Twitter,positive
POST00110,CUST0621,Can’t decide between a high-interest savings account or stocks. Help?,Audience Engagement,0.3377346942,Facebook,neutral
POST00111,CUST0561,Just got my first salary! Thinking of the best way to save and invest.,Sponsorship,-0.09003844724,Facebook,neutral
POST00112,CUST0520,Looking for the best credit card with travel rewards. Any recommendations?,Tech Enthusiasm,0.2351984365,Instagram,negative
POST00113,CUST0478,Thinking of getting a personal loan to start a small business. Need advice!,Financial Literacy,0.3725643462,Twitter,negative
POST00114,CUST0606,Just got my first salary! Thinking of the best way to save and invest.,Sponsorship,0.4293037525,Twitter,negative
POST00115,CUST0633,Tried an AI financial planner. Super interesting insights on my spending!,Savings Planning,0.7388525796,LinkedIn,negative
POST00116,CUST0859,Looking for the best credit card with travel rewards. Any recommendations?,Financial Literacy,0.8199823365,Twitter,neutral
POST00117,CUST0419,Finally paid off my student loan! Feels like a huge relief!,Tech Enthusiasm,0.2136568265,Facebook,neutral
POST00118,CUST0370,Thinking of getting a personal loan to start a small business. Need advice!,Audience Engagement,0.7883284708,Facebook,negative
POST00119,CUST0492,Excited about the latest AI-powered budgeting app. Looks promising!,Product Discovery,0.5292434407,Facebook,negative
POST00120,CUST0013,Just got my first salary! Thinking of the best way to save and invest.,Service Quality,-0.5945492229,Facebook,neutral
POST00121,CUST0789,I need a budget-friendly laptop for work. Any solid choices under $1000?,Tech Innovation,-0.9293762027,Facebook,positive
POST00122,CUST0073,Switched to a digital-only bank. Loving the seamless experience!,Financial Planning,-0.9802233629,Instagram,negative
POST00123,CUST0152,Tried an AI financial planner. Super interesting insights on my spending!,Complaint,0.1732463949,Facebook,positive
POST00124,CUST0432,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Wealth Management,0.04318651117,Facebook,neutral
POST00125,CUST0545,Wondering if robo-advisors really beat traditional financial planners.,Financial Literacy,0.392737105,Instagram,positive
POST00126,CUST0257,Thinking of getting a personal loan to start a small business. Need advice!,Cashback Rewards,0.6856565739,Facebook,negative
POST00127,CUST0328,"Just finished a 5k run, need new running shoes, any suggestions?",Cashback Rewards,-0.6711150053,Instagram,negative
POST00128,CUST0254,Investing in crypto feels risky but exciting. What do you think?,Sponsorship,0.712863539,Twitter,negative
POST00129,CUST0771,Tried an AI financial planner. Super interesting insights on my spending!,Digital Banking Experience,-0.8038359092,LinkedIn,negative
POST00130,CUST0910,Who else finds banking apps super confusing? UX needs serious work.,Complaint,0.766486709,Instagram,negative
POST00131,CUST0654,Thinking of getting a personal loan to start a small business. Need advice!,Wealth Management,0.7009728877,LinkedIn,neutral
POST00132,CUST0689,Struggling with credit card debt. Need a solid repayment strategy!,Bank Fee Concern,0.393911606,Twitter,positive
POST00133,CUST0122,Switched to a digital-only bank. Loving the seamless experience!,Tech Enthusiasm,-0.399941562,LinkedIn,neutral
POST00134,CUST0033,Thinking of getting a personal loan to start a small business. Need advice!,Loan Interest,-0.813173081,Instagram,neutral
POST00135,CUST0260,Excited about the latest AI-powered budgeting app. Looks promising!,Audience Engagement,0.5561741319,Twitter,neutral
POST00136,CUST0550,Thinking of getting a personal loan to start a small business. Need advice!,Savings Planning,-0.5642411721,LinkedIn,positive
POST00137,CUST0153,Eager to learn more about sustainable investing. Suggestions?,Service Quality,-0.1181258341,Instagram,positive
POST00138,CUST0815,Wondering if robo-advisors really beat traditional financial planners.,Product Discovery,0.06171813343,Twitter,neutral
POST00139,CUST0245,Finally paid off my student loan! Feels like a huge relief!,Cashback Rewards,0.3708846359,Facebook,positive
POST00140,CUST0141,Switched to a digital-only bank. Loving the seamless experience!,Sponsorship,-0.02512385549,Instagram,neutral
POST00141,CUST0631,Wondering if robo-advisors really beat traditional financial planners.,Digital Banking Experience,0.3890665323,LinkedIn,neutral
POST00142,CUST0489,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Budget Concerns,0.628076479,LinkedIn,negative
POST00143,CUST0885,Who else finds banking apps super confusing? UX needs serious work.,Tech Enthusiasm,0.4261217755,Facebook,positive
POST00144,CUST0935,Thinking of getting a personal loan to start a small business. Need advice!,Wealth Management,-0.4009945831,Instagram,negative
POST00145,CUST0793,Switched to a digital-only bank. Loving the seamless experience!,Cashback Rewards,0.7885723006,Facebook,neutral
POST00146,CUST0230,Eager to learn more about sustainable investing. Suggestions?,Sponsorship,0.1011428776,Twitter,neutral
POST00147,CUST0201,Who else finds banking apps super confusing? UX needs serious work.,Crypto Curiosity,-0.06925036447,Twitter,neutral
POST00148,CUST0870,Tried an AI financial planner. Super interesting insights on my spending!,Tech Innovation,0.1500940116,Twitter,negative
POST00149,CUST0555,I need a budget-friendly laptop for work. Any solid choices under $1000?,Investment Interest,-0.03355999955,LinkedIn,negative
POST00150,CUST0166,Thinking of getting a personal loan to start a small business. Need advice!,Bank Fee Concern,0.5102199328,Facebook,neutral
POST00151,CUST0035,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Tech Innovation,-0.1586720477,LinkedIn,negative
POST00152,CUST0605,Finally paid off my student loan! Feels like a huge relief!,Investment Interest,0.5534462786,Instagram,neutral
POST00153,CUST0951,Just got a cashback credit card. Time to maximize my rewards!,Wealth Management,0.5203104736,Facebook,neutral
POST00154,CUST0818,Just got my first salary! Thinking of the best way to save and invest.,Service Quality,-0.4462591659,LinkedIn,negative
POST00155,CUST0846,Excited about the latest AI-powered budgeting app. Looks promising!,Audience Engagement,-0.808117339,Instagram,positive
POST00156,CUST0230,Wondering if robo-advisors really beat traditional financial planners.,Tech Enthusiasm,0.7019160334,Twitter,neutral
POST00157,CUST0290,Excited about the latest AI-powered budgeting app. Looks promising!,Tech Enthusiasm,-0.6621604119,Instagram,neutral
POST00158,CUST0921,Struggling with credit card debt. Need a solid repayment strategy!,Service Quality,-0.9376349208,Twitter,negative
POST00159,CUST0426,Just got a cashback credit card. Time to maximize my rewards!,Financial Planning,-0.1953470093,LinkedIn,negative
POST00160,CUST0604,Tried an AI financial planner. Super interesting insights on my spending!,Sponsorship,-0.4917011425,Twitter,negative
POST00161,CUST0691,Tried an AI financial planner. Super interesting insights on my spending!,Crypto Curiosity,-0.5592775758,LinkedIn,neutral
POST00162,CUST0862,Finally paid off my student loan! Feels like a huge relief!,Wealth Management,-0.6553728165,Facebook,positive
POST00163,CUST0759,Struggling with credit card debt. Need a solid repayment strategy!,Loan Interest,0.4983931295,Facebook,positive
POST00164,CUST0999,Who else finds banking apps super confusing? UX needs serious work.,Financial Literacy,0.5668454381,Twitter,positive
POST00165,CUST0677,Excited about the latest AI-powered budgeting app. Looks promising!,Debt Repayment Strategy,-0.9072208327,Twitter,neutral
POST00166,CUST0751,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Shopping Recommendation,0.09362350745,LinkedIn,negative
POST00167,CUST0746,Struggling with credit card debt. Need a solid repayment strategy!,Product Discovery,-0.7297091081,LinkedIn,positive
POST00168,CUST0764,Tried an AI financial planner. Super interesting insights on my spending!,Cashback Rewards,-0.0008917453994,Instagram,positive
POST00169,CUST0066,I need a budget-friendly laptop for work. Any solid choices under $1000?,Service Quality,-0.3041403826,LinkedIn,positive
POST00170,CUST0853,Just got a cashback credit card. Time to maximize my rewards!,Budget Concerns,-0.5963676125,Twitter,neutral
POST00171,CUST0034,Investing in crypto feels risky but exciting. What do you think?,Tech Enthusiasm,0.8961194046,LinkedIn,negative
POST00172,CUST0979,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Product Discovery,0.9134923536,Instagram,negative
POST00173,CUST0232,Looking for the best credit card with travel rewards. Any recommendations?,Budget Concerns,0.1279410422,Facebook,negative
POST00174,CUST0934,Can’t decide between a high-interest savings account or stocks. Help?,Bank Fee Concern,-0.6238998715,Twitter,negative
POST00175,CUST0927,Struggling with credit card debt. Need a solid repayment strategy!,Budget Concerns,0.1665318885,LinkedIn,positive
POST00176,CUST0666,Switched to a digital-only bank. Loving the seamless experience!,Product Discovery,0.8569985335,Facebook,negative
POST00177,CUST0332,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Debt Repayment Strategy,-0.2444784399,LinkedIn,positive
POST00178,CUST0990,Finally paid off my student loan! Feels like a huge relief!,Financial Literacy,-0.7245264053,Instagram,neutral
POST00179,CUST0922,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Crypto Curiosity,0.3873803691,Instagram,neutral
POST00180,CUST0959,Eager to learn more about sustainable investing. Suggestions?,Savings Planning,0.3125378748,Twitter,neutral
POST00181,CUST0688,Just got a cashback credit card. Time to maximize my rewards!,Investment Interest,-0.997223517,Twitter,negative
POST00182,CUST0127,Who else finds banking apps super confusing? UX needs serious work.,Complaint,0.707211176,LinkedIn,negative
POST00183,CUST0125,Thinking of getting a personal loan to start a small business. Need advice!,Audience Engagement,0.3214941968,Twitter,positive
POST00184,CUST0863,Looking for the best credit card with travel rewards. Any recommendations?,Crypto Curiosity,-0.6086028124,Instagram,negative
POST00185,CUST0368,Investing in crypto feels risky but exciting. What do you think?,Debt Repayment Strategy,-0.9935224823,LinkedIn,neutral
POST00186,CUST0079,Just got a cashback credit card. Time to maximize my rewards!,Tech Enthusiasm,0.9446002766,Facebook,negative
POST00187,CUST0010,I need a budget-friendly laptop for work. Any solid choices under $1000?,Crypto Curiosity,0.5093594721,Twitter,positive
POST00188,CUST0548,Struggling with credit card debt. Need a solid repayment strategy!,Product Discovery,-0.2698975975,LinkedIn,neutral
POST00189,CUST0168,Thinking of getting a personal loan to start a small business. Need advice!,Service Quality,-0.1344231349,Facebook,neutral
POST00190,CUST0922,Wondering if robo-advisors really beat traditional financial planners.,Tech Innovation,0.07772102358,LinkedIn,positive
POST00191,CUST0137,Just got a cashback credit card. Time to maximize my rewards!,Cashback Rewards,0.4372558068,Twitter,neutral
POST00192,CUST0181,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Cashback Rewards,-0.6541380671,Facebook,positive
POST00193,CUST0721,Saving up for my dream vacation. Any good tips to stay on track?,Service Quality,-0.6085418998,Instagram,positive
POST00194,CUST0454,Looking for the best credit card with travel rewards. Any recommendations?,Sponsorship,-0.9034606422,Twitter,negative
POST00195,CUST0086,Finally paid off my student loan! Feels like a huge relief!,Investment Interest,0.971588476,Instagram,neutral
POST00196,CUST0720,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Debt Repayment Strategy,0.7511419751,LinkedIn,negative
POST00197,CUST0214,Can’t decide between a high-interest savings account or stocks. Help?,Budget Concerns,0.1059160272,Instagram,negative
POST00198,CUST0309,Just got my first salary! Thinking of the best way to save and invest.,Debt Repayment Strategy,-0.1394527087,Facebook,positive
POST00199,CUST0167,Which banks offer the best customer service? Tired of waiting on calls.,Loan Interest,-0.5251200947,Facebook,positive
POST00200,CUST0317,Can’t decide between a high-interest savings account or stocks. Help?,Financial Literacy,0.1899655954,Instagram,negative
POST00201,CUST0052,Investing in crypto feels risky but exciting. What do you think?,Bank Fee Concern,0.3810207168,Twitter,positive
POST00202,CUST0196,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Debt Repayment Strategy,0.3783655467,Facebook,neutral
POST00203,CUST0708,Just got a cashback credit card. Time to maximize my rewards!,Bank Fee Concern,-0.9871277241,Instagram,neutral
POST00204,CUST0713,"Just finished a 5k run, need new running shoes, any suggestions?",Wealth Management,0.4040778397,Instagram,negative
POST00205,CUST0206,Wondering if robo-advisors really beat traditional financial planners.,Budget Concerns,0.7327457025,Instagram,neutral
POST00206,CUST0682,Excited about the latest AI-powered budgeting app. Looks promising!,Shopping Recommendation,-0.7701666302,LinkedIn,negative
POST00207,CUST0243,Just got a cashback credit card. Time to maximize my rewards!,Financial Planning,0.5107540246,Twitter,neutral
POST00208,CUST0218,Just got my first salary! Thinking of the best way to save and invest.,Budget Concerns,0.6464771851,LinkedIn,positive
POST00209,CUST0707,Who else finds banking apps super confusing? UX needs serious work.,Financial Literacy,-0.4476612299,Facebook,neutral
POST00210,CUST0352,Switched to a digital-only bank. Loving the seamless experience!,Cashback Rewards,0.4242123838,Facebook,positive
POST00211,CUST0587,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Product Discovery,-0.8064902539,Instagram,negative
POST00212,CUST0179,Thinking of getting a personal loan to start a small business. Need advice!,Product Discovery,0.2984242638,Twitter,neutral
POST00213,CUST0387,I need a budget-friendly laptop for work. Any solid choices under $1000?,Sponsorship,0.02065870195,LinkedIn,positive
POST00214,CUST0909,I need a budget-friendly laptop for work. Any solid choices under $1000?,Crypto Curiosity,0.6997042945,Instagram,positive
POST00215,CUST0364,Looking for the best credit card with travel rewards. Any recommendations?,Product Discovery,-0.09606477885,Facebook,negative
POST00216,CUST0909,Just got my first salary! Thinking of the best way to save and invest.,Financial Planning,-0.143808343,Twitter,negative
POST00217,CUST0632,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Audience Engagement,0.8675696877,LinkedIn,neutral
POST00218,CUST0377,Eager to learn more about sustainable investing. Suggestions?,Budget Concerns,0.8685335024,Instagram,neutral
POST00219,CUST0573,Excited about the latest AI-powered budgeting app. Looks promising!,Sponsorship,-0.9285767373,Facebook,neutral
POST00220,CUST0280,Saving up for my dream vacation. Any good tips to stay on track?,Tech Enthusiasm,-0.02886989482,Facebook,positive
POST00221,CUST0660,Wondering if robo-advisors really beat traditional financial planners.,Digital Banking Experience,-0.6780847969,Facebook,negative
POST00222,CUST0074,Looking for the best credit card with travel rewards. Any recommendations?,Debt Repayment Strategy,-0.4525875647,Twitter,neutral
POST00223,CUST0727,Excited about the latest AI-powered budgeting app. Looks promising!,Digital Banking Experience,0.3322806849,Twitter,neutral
POST00224,CUST0500,Wondering if robo-advisors really beat traditional financial planners.,Investment Interest,-0.7414242435,Facebook,positive
POST00225,CUST0490,Eager to learn more about sustainable investing. Suggestions?,Crypto Curiosity,-0.9774590132,Facebook,neutral
POST00226,CUST0097,I need a budget-friendly laptop for work. Any solid choices under $1000?,Financial Literacy,0.4542472852,Twitter,positive
POST00227,CUST0951,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Financial Literacy,0.2826885724,Instagram,positive
POST00228,CUST0035,Investing in crypto feels risky but exciting. What do you think?,Savings Planning,0.8053285688,Instagram,negative
POST00229,CUST0590,I need a budget-friendly laptop for work. Any solid choices under $1000?,Budget Concerns,0.08462024224,Instagram,positive
POST00230,CUST0501,Eager to learn more about sustainable investing. Suggestions?,Audience Engagement,0.8906613831,Facebook,negative
POST00231,CUST0848,Finally paid off my student loan! Feels like a huge relief!,Savings Planning,0.2186267225,LinkedIn,positive
POST00232,CUST0286,Tried an AI financial planner. Super interesting insights on my spending!,Cashback Rewards,-0.2256992692,Facebook,negative
POST00233,CUST0083,Who else finds banking apps super confusing? UX needs serious work.,Debt Repayment Strategy,0.2169274106,LinkedIn,positive
